tienda,producto,dias,media,mediana,pct_ceros
1,101,911,108.68,123.0,9.2
1,102,911,77.02,76.0,7.1
1,106,911,57.64,60.0,10.3
1,107,911,71.43,74.0,6.7
1,108,911,83.86,88.0,8.6
2,101,911,168.79,188.0,9.0
2,104,911,150.15,166.0,7.2
2,105,911,123.25,133.0,9.4
2,107,911,73.82,75.0,6.7
2,109,911,164.13,174.0,8.3
3,104,911,58.54,58.0,8.2
3,105,911,54.85,53.0,7.5
3,106,911,96.59,97.0,8.5
3,107,911,66.93,63.0,9.1
3,109,911,61.46,63.0,9.2
4,103,911,61.45,62.0,10.4
4,104,911,71.39,77.0,8.1
4,105,911,48.72,48.0,7.8
4,107,911,37.12,38.0,7.6
4,108,911,66.22,66.0,7.7
5,101,911,64.57,63.0,8.3
5,103,911,116.93,125.0,9.4
5,104,911,108.13,113.0,7.1
5,106,911,86.86,88.0,6.1
5,108,911,90.65,91.0,8.0
6,101,911,84.37,86.0,9.1
6,102,911,59.16,57.0,7.1
6,103,911,45.18,45.0,8.8
6,105,911,68.96,73.0,9.2
6,108,911,58.92,57.0,8.6
10,101,911,46.55,52.0,8.8
10,102,911,48.92,50.0,8.9
10,103,911,31.6,33.0,8.8
10,104,911,50.0,49.0,9.3
10,106,911,35.15,37.0,7.1
11,101,911,93.25,97.0,8.2
11,104,911,69.38,72.0,9.0
11,105,911,118.04,127.0,7.4
11,106,911,71.52,71.0,8.5
11,109,911,88.85,93.0,10.1
12,101,911,120.09,121.0,9.4
12,102,911,108.16,112.0,8.2
12,103,911,65.18,67.0,9.8
12,105,911,82.63,84.0,9.0
12,107,911,125.96,125.0,7.5
14,101,911,100.56,104.0,8.1
14,104,911,51.51,53.0,7.0
14,106,911,52.58,56.0,9.8
14,107,911,123.52,131.0,9.3
14,109,911,97.0,101.0,8.1
